Id,UserId,Name,Date,Class,TagBased
1,2,Autobiographer,2010-11-08T20:45:04.983,3,False
2,6,Autobiographer,2010-11-08T20:50:04.783,3,False
3,7,Autobiographer,2010-11-08T20:50:04.783,3,False
4,8,Autobiographer,2010-11-08T20:50:04.797,3,False
5,9,Autobiographer,2010-11-08T20:50:04.797,3,False
6,15,Autobiographer,2010-11-08T20:50:04.797,3,False
7,12,Autobiographer,2010-11-08T20:55:04.567,3,False
8,16,Autobiographer,2010-11-08T20:55:04.580,3,False
9,19,Autobiographer,2010-11-08T20:55:04.580,3,False
10,20,Autobiographer,2010-11-08T20:55:04.597,3,False
11,22,Autobiographer,2010-11-08T20:55:04.597,3,False
12,5,Autobiographer,2010-11-08T21:00:04.833,3,False
13,26,Autobiographer,2010-11-08T21:00:04.847,3,False
14,27,Autobiographer,2010-11-08T21:05:04.647,3,False
15,28,Autobiographer,2010-11-08T21:05:04.647,3,False
16,29,Autobiographer,2010-11-08T21:05:04.663,3,False
17,30,Autobiographer,2010-11-08T21:05:04.663,3,False
18,23,Teacher,2010-11-08T21:10:04.647,3,False
19,27,Teacher,2010-11-08T21:10:04.833,3,False
20,12,Student,2010-11-08T21:10:04.897,3,False
21,25,Student,2010-11-08T21:10:04.960,3,False
22,29,Organizer,2010-11-08T21:10:05.007,3,False
23,7,Supporter,2010-11-08T21:10:05.053,3,False
24,25,Supporter,2010-11-08T21:10:05.070,3,False
25,27,Supporter,2010-11-08T21:10:05.070,3,False
26,29,Supporter,2010-11-08T21:10:05.083,3,False
27,31,Autobiographer,2010-11-08T21:10:05.117,3,False
28,5,Teacher,2010-11-09T20:40:38.833,3,False
29,6,Teacher,2010-11-09T20:40:38.913,3,False
30,11,Teacher,2010-11-09T20:40:38.943,3,False
31,12,Teacher,2010-11-09T20:40:38.977,3,False
32,25,Teacher,2010-11-09T20:40:39.007,3,False
33,35,Teacher,2010-11-09T20:40:39.037,3,False
34,38,Teacher,2010-11-09T20:40:39.070,3,False
35,41,Teacher,2010-11-09T20:40:39.100,3,False
36,42,Teacher,2010-11-09T20:40:39.130,3,False
37,43,Teacher,2010-11-09T20:40:39.163,3,False
38,48,Teacher,2010-11-09T20:40:39.210,3,False
39,50,Teacher,2010-11-09T20:40:39.240,3,False
40,52,Teacher,2010-11-09T20:40:39.270,3,False
41,53,Teacher,2010-11-09T20:40:39.303,3,False
42,58,Teacher,2010-11-09T20:40:39.317,3,False
43,59,Teacher,2010-11-09T20:40:39.350,3,False
44,60,Teacher,2010-11-09T20:40:39.380,3,False
45,64,Teacher,2010-11-09T20:40:39.413,3,False
46,65,Teacher,2010-11-09T20:40:39.427,3,False
47,66,Teacher,2010-11-09T20:40:39.460,3,False
48,69,Teacher,2010-11-09T20:40:39.473,3,False
49,70,Teacher,2010-11-09T20:40:39.490,3,False
50,76,Teacher,2010-11-09T20:40:39.537,3,False
51,78,Teacher,2010-11-09T20:40:39.553,3,False
52,85,Teacher,2010-11-09T20:40:39.583,3,False
